date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2005-01-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat,KG,actual,Wholesale,ARS,0.25,0.0836
2005-01-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat flour,KG,actual,Wholesale,ARS,0.52,0.1773
2005-01-15,Santa Fe,Rosario,Rosario,-32.95,-60.67,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ARS,0.17,0.0591
2005-02-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat,KG,actual,Wholesale,ARS,0.26,0.0936
2005-02-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat flour,KG,actual,Wholesale,ARS,0.53,0.1899
2005-02-15,Santa Fe,Rosario,Rosario,-32.95,-60.67,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ARS,0.18,0.0628
2005-03-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat,KG,actual,Wholesale,ARS,0.31,0.1091
2005-03-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat flour,KG,actual,Wholesale,ARS,0.53,0.1892
2005-03-15,Santa Fe,Rosario,Rosario,-32.95,-60.67,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ARS,0.19,0.0667
2005-04-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat,KG,actual,Wholesale,ARS,0.3,0.105
2005-04-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat flour,KG,actual,Wholesale,ARS,0.53,0.1829
2005-04-15,Santa Fe,Rosario,Rosario,-32.95,-60.67,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ARS,0.19,0.0666
2005-05-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat,KG,actual,Wholesale,ARS,0.32,0.1096
2005-05-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat flour,KG,actual,Wholesale,ARS,0.53,0.1842
2005-05-15,Santa Fe,Rosario,Rosario,-32.95,-60.67,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ARS,0.2,0.0678
2005-06-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat,KG,actual,Wholesale,ARS,0.3,0.104
2005-06-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat flour,KG,actual,Wholesale,ARS,0.53,0.1843
2005-06-15,Santa Fe,Rosario,Rosario,-32.95,-60.67,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ARS,0.2,0.0703
2005-07-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat,KG,actual,Wholesale,ARS,0.32,0.111
2005-07-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat flour,KG,actual,Wholesale,ARS,0.53,0.1852
2005-07-15,Santa Fe,Rosario,Rosario,-32.95,-60.67,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ARS,0.23,0.0787
2005-08-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat,KG,actual,Wholesale,ARS,0.32,0.1095
2005-08-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat flour,KG,actual,Wholesale,ARS,0.54,0.1875
2005-08-15,Santa Fe,Rosario,Rosario,-32.95,-60.67,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ARS,0.22,0.0774
2005-09-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat,KG,actual,Wholesale,ARS,0.31,0.1054
2005-09-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat flour,KG,actual,Wholesale,ARS,0.55,0.1888
2005-09-15,Santa Fe,Rosario,Rosario,-32.95,-60.67,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ARS,0.22,0.0744
2005-10-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat,KG,actual,Wholesale,ARS,0.31,0.1072
2005-10-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat flour,KG,actual,Wholesale,ARS,0.56,0.1908
2005-10-15,Santa Fe,Rosario,Rosario,-32.95,-60.67,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ARS,0.22,0.0749
2005-11-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat,KG,actual,Wholesale,ARS,0.31,0.1065
2005-11-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat flour,KG,actual,Wholesale,ARS,0.56,0.1898
2005-11-15,Santa Fe,Rosario,Rosario,-32.95,-60.67,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ARS,0.21,0.0705
2005-12-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat,KG,actual,Wholesale,ARS,0.31,0.1038
2005-12-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat flour,KG,actual,Wholesale,ARS,0.57,0.1892
2005-12-15,Santa Fe,Rosario,Rosario,-32.95,-60.67,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ARS,0.22,0.0729
2006-01-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat,KG,actual,Wholesale,ARS,0.34,0.1112
2006-01-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat flour,KG,actual,Wholesale,ARS,0.57,0.1882
2006-01-15,Santa Fe,Rosario,Rosario,-32.95,-60.67,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ARS,0.24,0.0789
2006-02-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat,KG,actual,Wholesale,ARS,0.34,0.1118
2006-02-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat flour,KG,actual,Wholesale,ARS,0.56,0.1824
2006-02-15,Santa Fe,Rosario,Rosario,-32.95,-60.67,cereals and tubers,Maize (yellow),KG,actual,Wholesale,ARS,0.25,0.0807
2006-03-15,Buenos Aires D.f.,Comuna 01,Buenos Aires,-34.61,-58.37,cereals and tubers,Wheat,KG,actual,Wholesale,ARS,0.33,0.1062
