date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2005-01-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Maize,KG,actual,Retail,XOF,50.0,0.1016
2005-01-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Maize,KG,actual,Retail,XOF,125.0,0.254
2005-02-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Maize,KG,actual,Retail,XOF,90.0,0.1854
2005-02-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Maize,KG,actual,Retail,XOF,112.5,0.2317
2005-03-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Maize,KG,actual,Retail,XOF,125.0,0.2654
2005-03-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Maize,KG,actual,Retail,XOF,208.33,0.4424
2005-03-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,"Rice (denikassia, imported)",KG,actual,Retail,XOF,241.67,0.5132
2005-04-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Maize,KG,actual,Retail,XOF,200.0,0.3941
2005-04-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Maize,KG,actual,Retail,XOF,183.33,0.3613
2005-04-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,"Rice (denikassia, imported)",KG,actual,Retail,XOF,225.0,0.4434
2005-05-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Maize,KG,actual,Retail,XOF,225.0,0.4338
2005-05-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Maize,KG,actual,Retail,XOF,212.5,0.4097
2005-05-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,"Rice (denikassia, imported)",KG,actual,Retail,XOF,237.5,0.4579
2005-06-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Maize,KG,actual,Retail,XOF,150.0,0.2772
2005-06-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Maize,KG,actual,Retail,XOF,270.83,0.5005
2005-06-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,"Rice (denikassia, imported)",KG,actual,Retail,XOF,216.67,0.4004
2005-07-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Maize,KG,actual,Retail,XOF,341.67,0.628
2005-07-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Maize,KG,actual,Retail,XOF,222.5,0.409
2005-07-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,"Rice (denikassia, imported)",KG,actual,Retail,XOF,237.5,0.4365
2005-08-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Maize,KG,actual,Retail,XOF,100.0,0.1888
2005-08-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Maize,KG,actual,Retail,XOF,216.67,0.409
2005-08-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,"Rice (denikassia, imported)",KG,actual,Retail,XOF,266.67,0.5034
2005-09-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Maize,KG,actual,Retail,XOF,218.75,0.4081
2005-09-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Maize,KG,actual,Retail,XOF,137.5,0.2565
2005-09-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,"Rice (denikassia, imported)",KG,actual,Retail,XOF,231.25,0.4314
2005-10-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Maize,KG,actual,Retail,XOF,225.0,0.4127
2005-10-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Maize,KG,actual,Retail,XOF,150.0,0.2752
2005-10-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,"Rice (denikassia, imported)",KG,actual,Retail,XOF,236.25,0.4334
2005-11-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Maize,KG,actual,Retail,XOF,225.0,0.4025
2005-11-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Maize,KG,actual,Retail,XOF,100.0,0.1789
2005-11-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,"Rice (denikassia, imported)",KG,actual,Retail,XOF,275.0,0.4919
2006-01-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Maize,KG,actual,Retail,XOF,200.0,0.3644
2006-01-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Yam (florido),KG,actual,Retail,XOF,87.5,0.1594
2006-01-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Cassava (fresh),KG,actual,Retail,XOF,87.5,0.1594
2006-01-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Maize,KG,actual,Retail,XOF,100.0,0.1822
2006-01-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,"Rice (denikassia, imported)",KG,actual,Retail,XOF,237.5,0.4327
2006-01-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Rice (local),KG,actual,Retail,XOF,262.5,0.4782
2006-01-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Yam (florido),KG,actual,Retail,XOF,40.75,0.0742
2006-01-15,Vallee Du Bandama,Hambol,Katiola,8.1333333,-5.1,cereals and tubers,"Rice (denikassia, imported)",KG,actual,Retail,XOF,237.5,0.4327
2006-01-15,Vallee Du Bandama,Hambol,Katiola,8.1333333,-5.1,cereals and tubers,Rice (local),KG,actual,Retail,XOF,262.5,0.4782
2006-02-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Maize,KG,actual,Retail,XOF,175.0,0.3176
2006-02-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Yam (florido),KG,actual,Retail,XOF,80.0,0.1452
2006-02-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Cassava (fresh),KG,actual,Retail,XOF,75.0,0.1361
2006-02-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Maize,KG,actual,Retail,XOF,150.0,0.2722
2006-02-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,"Rice (denikassia, imported)",KG,actual,Retail,XOF,262.5,0.4763
2006-02-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Rice (local),KG,actual,Retail,XOF,275.0,0.499
2006-02-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Yam (florido),KG,actual,Retail,XOF,55.0,0.0998
2006-02-15,Vallee Du Bandama,Hambol,Katiola,8.1333333,-5.1,cereals and tubers,"Rice (denikassia, imported)",KG,actual,Retail,XOF,237.5,0.431
2006-02-15,Vallee Du Bandama,Hambol,Katiola,8.1333333,-5.1,cereals and tubers,Rice (local),KG,actual,Retail,XOF,262.5,0.4763
2006-03-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Maize,KG,actual,Retail,XOF,207.5,0.3823
2006-03-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Yam (florido),KG,actual,Retail,XOF,60.5,0.1115
2006-03-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Cassava (fresh),KG,actual,Retail,XOF,68.75,0.1267
2006-03-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Maize,KG,actual,Retail,XOF,116.67,0.215
2006-03-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,"Rice (denikassia, imported)",KG,actual,Retail,XOF,237.5,0.4376
2006-03-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Rice (local),KG,actual,Retail,XOF,268.75,0.4952
2006-03-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Yam (florido),KG,actual,Retail,XOF,65.62,0.1209
2006-03-15,Vallee Du Bandama,Hambol,Katiola,8.1333333,-5.1,cereals and tubers,"Rice (denikassia, imported)",KG,actual,Retail,XOF,237.5,0.4376
2006-03-15,Vallee Du Bandama,Hambol,Katiola,8.1333333,-5.1,cereals and tubers,Rice (local),KG,actual,Retail,XOF,262.5,0.4836
2006-04-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Maize,KG,actual,Retail,XOF,187.5,0.3521
2006-04-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Yam (florido),KG,actual,Retail,XOF,67.5,0.1267
2006-04-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Cassava (fresh),KG,actual,Retail,XOF,69.0,0.1296
2006-04-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Maize,KG,actual,Retail,XOF,137.5,0.2582
2006-04-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,"Rice (denikassia, imported)",KG,actual,Retail,XOF,250.0,0.4694
2006-04-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Rice (local),KG,actual,Retail,XOF,293.75,0.5516
2006-04-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Yam (florido),KG,actual,Retail,XOF,73.0,0.1371
2006-04-15,Vallee Du Bandama,Hambol,Katiola,8.1333333,-5.1,cereals and tubers,"Rice (denikassia, imported)",KG,actual,Retail,XOF,250.0,0.4694
2006-04-15,Vallee Du Bandama,Hambol,Katiola,8.1333333,-5.1,cereals and tubers,Rice (local),KG,actual,Retail,XOF,312.5,0.5868
2006-05-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Maize,KG,actual,Retail,XOF,103.75,0.2108
2006-05-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Yam (florido),KG,actual,Retail,XOF,103.33,0.21
2006-05-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Cassava (fresh),KG,actual,Retail,XOF,77.5,0.1575
2006-05-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Maize,KG,actual,Retail,XOF,125.0,0.254
2006-05-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,"Rice (denikassia, imported)",KG,actual,Retail,XOF,250.0,0.508
2006-05-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Rice (local),KG,actual,Retail,XOF,312.5,0.6349
2006-05-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Yam (florido),KG,actual,Retail,XOF,80.0,0.1625
2006-05-15,Vallee Du Bandama,Hambol,Katiola,8.1333333,-5.1,cereals and tubers,"Rice (denikassia, imported)",KG,actual,Retail,XOF,250.0,0.508
2006-05-15,Vallee Du Bandama,Hambol,Katiola,8.1333333,-5.1,cereals and tubers,Rice (local),KG,actual,Retail,XOF,325.0,0.6603
2006-06-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Maize,KG,actual,Retail,XOF,115.0,0.2305
2006-06-15,Montagnes,Tonkpi,Man,7.4052778,-7.5475,cereals and tubers,Yam (florido),KG,actual,Retail,XOF,72.5,0.1453
2006-06-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Cassava (fresh),KG,actual,Retail,XOF,126.5,0.2536
2006-06-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Maize,KG,actual,Retail,XOF,150.0,0.3007
2006-06-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,"Rice (denikassia, imported)",KG,actual,Retail,XOF,237.5,0.4761
2006-06-15,Vallee Du Bandama,Gbêke,Bouake,7.6833333,-5.0330556,cereals and tubers,Rice (local),KG,actual,Retail,XOF,275.0,0.5512
