date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2005-01-15,Azuay,Cuenca,Cuenca,-2.88,-78.98,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.23,0.23
2005-01-15,Azuay,Cuenca,Cuenca,-2.88,-78.98,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.64,0.64
2005-01-15,Guayas,Guayaquil,Guayaquil,-2.2,-79.9,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.22,0.22
2005-01-15,Guayas,Guayaquil,Guayaquil,-2.2,-79.9,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.51,0.51
2005-01-15,Manabi,Portoviejo,Portoviejo,-1.06,-80.46,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.54,0.54
2005-01-15,Pichincha,Quito,Quito,-0.23,-78.52,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.18,0.18
2005-01-15,Pichincha,Quito,Quito,-0.23,-78.52,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.63,0.63
2005-01-15,Tungurahua,Ambato,Ambato,-1.24,-78.62,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.15,0.15
2005-01-15,Tungurahua,Ambato,Ambato,-1.24,-78.62,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.66,0.66
2005-02-15,Azuay,Cuenca,Cuenca,-2.88,-78.98,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.29,0.29
2005-02-15,Azuay,Cuenca,Cuenca,-2.88,-78.98,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.64,0.64
2005-02-15,Guayas,Guayaquil,Guayaquil,-2.2,-79.9,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.27,0.27
2005-02-15,Guayas,Guayaquil,Guayaquil,-2.2,-79.9,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.55,0.55
2005-02-15,Manabi,Portoviejo,Portoviejo,-1.06,-80.46,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.56,0.56
2005-02-15,Pichincha,Quito,Quito,-0.23,-78.52,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.25,0.25
2005-02-15,Pichincha,Quito,Quito,-0.23,-78.52,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.63,0.63
2005-02-15,Tungurahua,Ambato,Ambato,-1.24,-78.62,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.25,0.25
2005-02-15,Tungurahua,Ambato,Ambato,-1.24,-78.62,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.7,0.7
2005-03-15,Azuay,Cuenca,Cuenca,-2.88,-78.98,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.32,0.32
2005-03-15,Azuay,Cuenca,Cuenca,-2.88,-78.98,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.68,0.68
2005-03-15,Guayas,Guayaquil,Guayaquil,-2.2,-79.9,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.29,0.29
2005-03-15,Guayas,Guayaquil,Guayaquil,-2.2,-79.9,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.58,0.58
2005-03-15,Manabi,Portoviejo,Portoviejo,-1.06,-80.46,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.59,0.59
2005-03-15,Pichincha,Quito,Quito,-0.23,-78.52,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.26,0.26
2005-03-15,Pichincha,Quito,Quito,-0.23,-78.52,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.67,0.67
2005-03-15,Tungurahua,Ambato,Ambato,-1.24,-78.62,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.27,0.27
2005-03-15,Tungurahua,Ambato,Ambato,-1.24,-78.62,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.7,0.7
2005-04-15,Azuay,Cuenca,Cuenca,-2.88,-78.98,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.36,0.36
2005-04-15,Azuay,Cuenca,Cuenca,-2.88,-78.98,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.65,0.65
2005-04-15,Guayas,Guayaquil,Guayaquil,-2.2,-79.9,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.36,0.36
2005-04-15,Guayas,Guayaquil,Guayaquil,-2.2,-79.9,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.54,0.54
2005-04-15,Manabi,Portoviejo,Portoviejo,-1.06,-80.46,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.58,0.58
2005-04-15,Pichincha,Quito,Quito,-0.23,-78.52,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.34,0.34
2005-04-15,Pichincha,Quito,Quito,-0.23,-78.52,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.62,0.62
2005-04-15,Tungurahua,Ambato,Ambato,-1.24,-78.62,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.32,0.32
2005-04-15,Tungurahua,Ambato,Ambato,-1.24,-78.62,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.7,0.7
2005-05-15,Azuay,Cuenca,Cuenca,-2.88,-78.98,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.33,0.33
2005-05-15,Azuay,Cuenca,Cuenca,-2.88,-78.98,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.66,0.66
2005-05-15,Guayas,Guayaquil,Guayaquil,-2.2,-79.9,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.34,0.34
2005-05-15,Guayas,Guayaquil,Guayaquil,-2.2,-79.9,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.5,0.5
2005-05-15,Manabi,Portoviejo,Portoviejo,-1.06,-80.46,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.51,0.51
2005-05-15,Pichincha,Quito,Quito,-0.23,-78.52,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.31,0.31
2005-05-15,Pichincha,Quito,Quito,-0.23,-78.52,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.6,0.6
2005-05-15,Tungurahua,Ambato,Ambato,-1.24,-78.62,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.29,0.29
2005-05-15,Tungurahua,Ambato,Ambato,-1.24,-78.62,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.72,0.72
2005-06-15,Azuay,Cuenca,Cuenca,-2.88,-78.98,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.26,0.26
2005-06-15,Azuay,Cuenca,Cuenca,-2.88,-78.98,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.66,0.66
2005-06-15,Guayas,Guayaquil,Guayaquil,-2.2,-79.9,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.29,0.29
2005-06-15,Guayas,Guayaquil,Guayaquil,-2.2,-79.9,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.47,0.47
2005-06-15,Manabi,Portoviejo,Portoviejo,-1.06,-80.46,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.44,0.44
2005-06-15,Pichincha,Quito,Quito,-0.23,-78.52,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.25,0.25
2005-06-15,Pichincha,Quito,Quito,-0.23,-78.52,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.58,0.58
2005-06-15,Tungurahua,Ambato,Ambato,-1.24,-78.62,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.26,0.26
2005-06-15,Tungurahua,Ambato,Ambato,-1.24,-78.62,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.71,0.71
2005-07-15,Azuay,Cuenca,Cuenca,-2.88,-78.98,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.32,0.32
2005-07-15,Azuay,Cuenca,Cuenca,-2.88,-78.98,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.66,0.66
2005-07-15,Guayas,Guayaquil,Guayaquil,-2.2,-79.9,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.3,0.3
2005-07-15,Guayas,Guayaquil,Guayaquil,-2.2,-79.9,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.47,0.47
2005-07-15,Manabi,Portoviejo,Portoviejo,-1.06,-80.46,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.48,0.48
2005-07-15,Pichincha,Quito,Quito,-0.23,-78.52,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.27,0.27
2005-07-15,Pichincha,Quito,Quito,-0.23,-78.52,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.58,0.58
2005-07-15,Tungurahua,Ambato,Ambato,-1.24,-78.62,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.19,0.19
2005-07-15,Tungurahua,Ambato,Ambato,-1.24,-78.62,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.7,0.7
2005-08-15,Azuay,Cuenca,Cuenca,-2.88,-78.98,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.35,0.35
2005-08-15,Azuay,Cuenca,Cuenca,-2.88,-78.98,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.66,0.66
2005-08-15,Guayas,Guayaquil,Guayaquil,-2.2,-79.9,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.34,0.34
2005-08-15,Guayas,Guayaquil,Guayaquil,-2.2,-79.9,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.49,0.49
2005-08-15,Manabi,Portoviejo,Portoviejo,-1.06,-80.46,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.47,0.47
2005-08-15,Pichincha,Quito,Quito,-0.23,-78.52,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.29,0.29
2005-08-15,Pichincha,Quito,Quito,-0.23,-78.52,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.58,0.58
2005-08-15,Tungurahua,Ambato,Ambato,-1.24,-78.62,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.24,0.24
2005-08-15,Tungurahua,Ambato,Ambato,-1.24,-78.62,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.7,0.7
2005-09-15,Azuay,Cuenca,Cuenca,-2.88,-78.98,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.43,0.43
2005-09-15,Azuay,Cuenca,Cuenca,-2.88,-78.98,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.66,0.66
2005-09-15,Guayas,Guayaquil,Guayaquil,-2.2,-79.9,cereals and tubers,Potatoes,KG,actual,Wholesale,USD,0.38,0.38
2005-09-15,Guayas,Guayaquil,Guayaquil,-2.2,-79.9,cereals and tubers,Rice (long grain),KG,actual,Wholesale,USD,0.51,0.51
