date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2021-03-15,Central,Tailevu,Nausori,-18.029486,178.529843,cereals and tubers,Sweet potatoes,KG,actual,Retail,FJD,2.63,1.3052
2021-03-15,Central,Tailevu,Nausori,-18.029486,178.529843,cereals and tubers,Sweet potatoes,KG,actual,Wholesale,FJD,1.71,0.8503
2021-03-15,Central,Tailevu,Nausori,-18.029486,178.529843,vegetables and fruits,Coconut,KG,actual,Retail,FJD,1.35,0.6677
2021-03-15,Central,Tailevu,Nausori,-18.029486,178.529843,vegetables and fruits,Coconut,KG,actual,Wholesale,FJD,0.96,0.4769
2021-03-15,Central,Tailevu,Nausori,-18.029486,178.529843,vegetables and fruits,Plantains,KG,actual,Retail,FJD,2.73,1.3527
2021-03-15,Central,Tailevu,Nausori,-18.029486,178.529843,vegetables and fruits,Plantains,KG,actual,Wholesale,FJD,1.25,0.62
2021-03-15,Central,Tailevu,Nausori,-18.029486,178.529843,vegetables and fruits,Tomatoes,KG,actual,Retail,FJD,1.68,0.8336
2021-03-15,Central,Tailevu,Nausori,-18.029486,178.529843,vegetables and fruits,Tomatoes,KG,actual,Wholesale,FJD,1.0,0.496
2021-04-15,Central,Tailevu,Nausori,-18.029486,178.529843,vegetables and fruits,Coconut,KG,actual,Retail,FJD,1.5,0.7367
2021-04-15,Central,Tailevu,Nausori,-18.029486,178.529843,vegetables and fruits,Eggplants,KG,actual,Retail,FJD,2.41,1.1834
2021-04-15,Central,Tailevu,Nausori,-18.029486,178.529843,vegetables and fruits,Eggplants,KG,actual,Wholesale,FJD,1.33,0.6548
2021-04-15,Central,Tailevu,Nausori,-18.029486,178.529843,vegetables and fruits,Pumpkin,KG,actual,Retail,FJD,1.44,0.7049
2021-04-15,Central,Tailevu,Nausori,-18.029486,178.529843,vegetables and fruits,Tamarind,KG,actual,Retail,FJD,10.53,5.1696
2021-04-15,Western,Nadroga,Sigatoka,-18.139509,177.50733,vegetables and fruits,Kumquat,KG,actual,Retail,FJD,4.65,2.2842
2021-04-15,Western,Nadroga,Sigatoka,-18.139509,177.50733,vegetables and fruits,Kumquat,KG,actual,Wholesale,FJD,2.5,1.2278
2021-10-15,Central,Rewa,Suva,-18.135996,178.424586,cereals and tubers,Cassava,KG,actual,Retail,FJD,1.54,0.7416
