date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
1990-10-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,1.9,0.7162
1990-10-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,1.22,0.4599
1991-08-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,2.0,0.6893
1991-08-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,1.22,0.4204
1992-06-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,2.58,0.7097
1992-06-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,1.6,0.4402
1994-02-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,2.12,0.376
1994-04-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,2.12,0.3162
1994-04-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,3.6,0.5369
1994-10-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,3.4,0.2753
1994-10-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,2.1,0.17
1994-10-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,6.0,0.4858
1995-01-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,6.3,0.412
1995-01-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,7.65,0.5003
1995-03-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,6.68,0.4371
1995-03-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,5.14,0.3363
1995-03-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,8.04,0.5261
1995-07-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,8.4,0.549
1995-07-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,7.54,0.4928
1995-07-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,10.0,0.6536
1995-12-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,8.4,0.5489
1995-12-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,7.54,0.4927
1995-12-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,10.0,0.6535
1996-07-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,10.0,0.6534
1998-01-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3000.0,0.2355
1998-01-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1500.0,0.1178
1998-02-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,11.0,0.4895
1998-02-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,7.0,0.3115
1998-02-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,13.0,0.5785
1998-02-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1551.0,0.1206
1998-03-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1602.0,0.1234
1998-03-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3200.0,0.2465
1998-03-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1333.0,0.1027
1998-04-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1666.0,0.1271
1998-04-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1500.0,0.1144
1998-05-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1530.0,0.1156
1998-05-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3200.0,0.2419
1998-06-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1525.0,0.1142
1998-06-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3625.0,0.2714
1998-07-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,4250.0,0.3153
1998-09-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1441.0,0.1049
1998-09-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3950.0,0.2876
1998-10-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,19.5,0.4682
1998-10-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,11.0,0.2641
1998-10-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,22.0,0.5283
1998-10-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1500.0,0.1082
1998-10-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3450.0,0.249
1998-11-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,19.5,0.4496
1998-11-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,22.0,0.5072
1998-11-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1600.0,0.1144
1998-12-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1583.0,0.1122
1998-12-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3500.0,0.2481
1999-01-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1700.0,0.1194
1999-01-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3425.0,0.2406
1999-01-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1675.0,0.1177
1999-02-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,20.0,0.4577
1999-02-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,12.0,0.2746
1999-02-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3500.0,0.2437
1999-02-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1800.0,0.1253
1999-03-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1700.0,0.1174
1999-03-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3500.0,0.2417
1999-04-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3500.0,0.2396
1999-05-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,2725.0,0.185
1999-05-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3425.0,0.2325
1999-07-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,22.5,0.5186
1999-07-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,12.0,0.2766
1999-07-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,25.95,0.5981
1999-07-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,2125.0,0.1419
1999-07-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3625.0,0.242
1999-08-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1568.0,0.1038
1999-08-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3620.0,0.2396
1999-09-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1109.0,0.0728
1999-09-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3650.0,0.2396
1999-10-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,14.0,0.3147
1999-10-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,30.5,0.6856
1999-10-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1075.0,0.07
1999-10-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3800.0,0.2474
1999-11-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1300.0,0.084
1999-11-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3767.0,0.2433
1999-12-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1280.0,0.082
1999-12-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3600.0,0.2307
2000-01-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1162.0,0.0739
2000-02-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1300.0,0.082
2000-02-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3500.0,0.2207
2000-03-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,27.0,0.5747
2000-03-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,15.21,0.3238
2000-03-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,32.66,0.6952
2000-03-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1300.0,0.0813
2000-03-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3500.0,0.219
2000-04-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1570.0,0.0975
2000-04-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3700.0,0.2297
2000-05-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,15.2,0.3011
2000-05-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,36.0,0.7131
2000-05-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1610.0,0.0992
2000-06-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,31.8,0.5865
2000-06-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,21.2,0.391
2000-06-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,42.5,0.7838
2000-06-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1688.0,0.1032
2000-06-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,4667.0,0.2853
2000-07-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1483.0,0.09
2000-07-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,4200.0,0.2548
2000-08-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1163.0,0.07
2000-08-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,4000.0,0.2408
2000-09-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,43.0,0.6368
2000-09-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,33.0,0.4887
2000-09-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,48.0,0.7108
2000-09-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,863.0,0.0516
2000-09-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3700.0,0.2211
2000-10-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,54.5,0.7096
2000-10-15,,,National Average,,,non-food,"Fuel (kerosene, paraffin)",L,actual,Retail,MWK,45.5,0.5924
2000-10-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,55.0,0.7161
2000-10-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,806.0,0.0478
2000-10-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3540.0,0.21
2000-10-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1386.0,0.0822
2000-11-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,891.0,0.0525
2000-12-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,52.0,0.6493
2000-12-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,51.5,0.6431
2000-12-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,830.0,0.0485
2001-01-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1000.0,0.058
2001-01-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,4000.0,0.2321
2001-01-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1500.0,0.087
2001-02-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,45.6,0.5709
2001-02-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1433.0,0.0825
2001-02-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,4375.0,0.252
2001-02-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1330.0,0.0766
2001-03-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1858.0,0.1063
2001-03-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,4500.0,0.2574
2001-03-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1800.0,0.103
2001-04-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,5075.0,0.2882
2001-04-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1800.0,0.1022
2001-05-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,2140.0,0.1207
2001-05-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,5500.0,0.3102
2001-05-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1900.0,0.1072
2001-06-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,44.4,0.592
2001-06-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,54.3,0.724
2001-06-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,5250.0,0.294
2001-06-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,2043.0,0.1144
2001-07-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,44.9,0.6273
2001-07-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,52.5,0.7334
2001-07-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,2210.0,0.1229
2001-07-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,5625.0,0.3128
2001-07-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,2420.0,0.1346
2001-08-15,,,National Average,,,non-food,Fuel (diesel),L,actual,Retail,MWK,43.9,0.6534
2001-08-15,,,National Average,,,non-food,Fuel (petrol),L,actual,Retail,MWK,50.0,0.7442
2001-08-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1875.0,0.1035
2001-08-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,5500.0,0.3037
2001-08-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,3000.0,0.1657
2001-09-15,Southern Region,Nsanje,Marka,-17.123443,35.2285444,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1667.0,0.0914
