date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2010-12-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava,KG,actual,Wholesale,PYG,635.0,0.1396
2010-12-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava flour,KG,actual,Wholesale,PYG,2714.0,0.5967
2010-12-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize (white),KG,actual,Wholesale,PYG,2714.0,0.5967
2010-12-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize flour,KG,actual,Wholesale,PYG,3786.0,0.8324
2010-12-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Rice,KG,actual,Wholesale,PYG,3150.0,0.6926
2010-12-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (beef),KG,actual,Wholesale,PYG,26571.0,5.8422
2010-12-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (chicken),KG,actual,Wholesale,PYG,19167.0,4.2143
2010-12-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (pork),KG,actual,Wholesale,PYG,15333.0,3.3713
2011-01-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava,KG,actual,Wholesale,PYG,967.0,0.2102
2011-01-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava flour,KG,actual,Wholesale,PYG,2500.0,0.5433
2011-01-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize (white),KG,actual,Wholesale,PYG,2857.0,0.6209
2011-01-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize flour,KG,actual,Wholesale,PYG,4071.0,0.8847
2011-01-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Rice,KG,actual,Wholesale,PYG,3129.0,0.68
2011-01-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (beef),KG,actual,Wholesale,PYG,27429.0,5.9611
2011-01-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (chicken),KG,actual,Wholesale,PYG,18167.0,3.9482
2011-01-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (pork),KG,actual,Wholesale,PYG,15143.0,3.291
2011-02-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava,KG,actual,Wholesale,PYG,869.0,0.1934
2011-02-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava flour,KG,actual,Wholesale,PYG,2500.0,0.5563
2011-02-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize (white),KG,actual,Wholesale,PYG,3500.0,0.7788
2011-02-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize flour,KG,actual,Wholesale,PYG,3625.0,0.8066
2011-02-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Rice,KG,actual,Wholesale,PYG,3200.0,0.712
2011-02-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (beef),KG,actual,Wholesale,PYG,29154.0,6.4872
2011-02-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (chicken),KG,actual,Wholesale,PYG,15000.0,3.3377
2011-02-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (pork),KG,actual,Wholesale,PYG,18000.0,4.0053
2011-03-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava,KG,actual,Wholesale,PYG,761.0,0.1797
2011-03-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava flour,KG,actual,Wholesale,PYG,3500.0,0.8266
2011-03-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize (white),KG,actual,Wholesale,PYG,3500.0,0.8266
2011-03-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize flour,KG,actual,Wholesale,PYG,3727.0,0.8802
2011-03-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Rice,KG,actual,Wholesale,PYG,3000.0,0.7085
2011-03-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (beef),KG,actual,Wholesale,PYG,30500.0,7.2031
2011-03-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (chicken),KG,actual,Wholesale,PYG,17200.0,4.0621
2011-03-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (pork),KG,actual,Wholesale,PYG,18500.0,4.3691
2011-04-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava,KG,actual,Wholesale,PYG,584.0,0.1454
2011-04-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava flour,KG,actual,Wholesale,PYG,3400.0,0.8466
2011-04-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize (white),KG,actual,Wholesale,PYG,3500.0,0.8715
2011-04-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize flour,KG,actual,Wholesale,PYG,4091.0,1.0186
2011-04-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Rice,KG,actual,Wholesale,PYG,3000.0,0.747
2011-04-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (beef),KG,actual,Wholesale,PYG,29750.0,7.4076
2011-04-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (chicken),KG,actual,Wholesale,PYG,15773.0,3.9274
2011-04-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (pork),KG,actual,Wholesale,PYG,20364.0,5.0705
2011-05-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava,KG,actual,Wholesale,PYG,502.0,0.1253
2011-05-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava flour,KG,actual,Wholesale,PYG,3400.0,0.849
2011-05-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize (white),KG,actual,Wholesale,PYG,3167.0,0.7908
2011-05-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize flour,KG,actual,Wholesale,PYG,3850.0,0.9613
2011-05-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Rice,KG,actual,Wholesale,PYG,3000.0,0.7491
2011-05-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (beef),KG,actual,Wholesale,PYG,28800.0,7.1913
2011-05-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (chicken),KG,actual,Wholesale,PYG,16600.0,4.145
2011-05-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (pork),KG,actual,Wholesale,PYG,20100.0,5.0189
2011-06-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava,KG,actual,Wholesale,PYG,552.0,0.1405
2011-06-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava flour,KG,actual,Wholesale,PYG,3450.0,0.8779
2011-06-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize (white),KG,actual,Wholesale,PYG,2500.0,0.6361
2011-06-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize flour,KG,actual,Wholesale,PYG,3750.0,0.9542
2011-06-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Rice,KG,actual,Wholesale,PYG,3000.0,0.7634
2011-06-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (beef),KG,actual,Wholesale,PYG,27833.0,7.0824
2011-06-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (chicken),KG,actual,Wholesale,PYG,16167.0,4.1138
2011-06-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (pork),KG,actual,Wholesale,PYG,20500.0,5.2164
2011-07-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava,KG,actual,Wholesale,PYG,545.0,0.1414
2011-07-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava flour,KG,actual,Wholesale,PYG,3400.0,0.8824
2011-07-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize (white),KG,actual,Wholesale,PYG,2450.0,0.6359
2011-07-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize flour,KG,actual,Wholesale,PYG,3714.0,0.9639
2011-07-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Rice,KG,actual,Wholesale,PYG,2900.0,0.7526
2011-07-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (beef),KG,actual,Wholesale,PYG,27143.0,7.0445
2011-07-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (chicken),KG,actual,Wholesale,PYG,16000.0,4.1525
2011-08-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava,KG,actual,Wholesale,PYG,546.0,0.1451
2011-08-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava flour,KG,actual,Wholesale,PYG,3808.0,1.0121
2011-08-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize (white),KG,actual,Wholesale,PYG,2038.0,0.5416
2011-08-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize flour,KG,actual,Wholesale,PYG,3615.0,0.9608
2011-08-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Rice,KG,actual,Wholesale,PYG,3046.0,0.8095
2011-08-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (beef),KG,actual,Wholesale,PYG,29714.0,7.8972
2011-08-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (chicken),KG,actual,Wholesale,PYG,16571.0,4.4041
2011-08-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (pork),KG,actual,Wholesale,PYG,18700.0,4.97
2011-09-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava,KG,actual,Wholesale,PYG,557.0,0.1445
2011-09-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava flour,KG,actual,Wholesale,PYG,3392.0,0.8799
2011-09-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize (white),KG,actual,Wholesale,PYG,2177.0,0.5647
2011-09-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize flour,KG,actual,Wholesale,PYG,3538.0,0.9177
2011-09-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Rice,KG,actual,Wholesale,PYG,3256.0,0.8446
2011-09-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (beef),KG,actual,Wholesale,PYG,26417.0,6.8523
2011-09-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (chicken),KG,actual,Wholesale,PYG,16692.0,4.3297
2011-10-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava,KG,actual,Wholesale,PYG,629.0,0.1502
2011-10-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava flour,KG,actual,Wholesale,PYG,3231.0,0.7713
2011-10-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize (white),KG,actual,Wholesale,PYG,2231.0,0.5326
2011-10-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Maize flour,KG,actual,Wholesale,PYG,3375.0,0.8057
2011-10-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Rice,KG,actual,Wholesale,PYG,2713.0,0.6477
2011-10-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (beef),KG,actual,Wholesale,PYG,17846.0,4.2603
2011-10-15,Asunción,Asunción,Asunción,-25.282,-57.635,"meat, fish and eggs",Meat (chicken),KG,actual,Wholesale,PYG,16231.0,3.8748
2011-11-15,Asunción,Asunción,Asunción,-25.282,-57.635,cereals and tubers,Cassava,KG,actual,Wholesale,PYG,667.0,0.1589
