date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2008-04-15,Altay Rep.,Administrative unit not available,Western Siberia,50.92,86.92,cereals and tubers,Wheat flour (high grade),KG,actual,Wholesale,RUB,13.5,0.5746
2008-04-15,Chuvashiya Rep.,Administrative unit not available,Volga-Vyatka region,55.55,47.1,cereals and tubers,Wheat flour (high grade),KG,actual,Wholesale,RUB,14.17,0.603
2008-04-15,Lipetskaya Oblast,Administrative unit not available,Central Black Earth,52.7,39.15,cereals and tubers,Wheat flour (high grade),KG,actual,Wholesale,RUB,13.93,0.5931
2008-04-15,Moskva,Administrative unit not available,Central region,55.75,37.62,cereals and tubers,Wheat flour (high grade),KG,actual,Wholesale,RUB,13.93,0.5931
2008-04-15,Rostovskaya Oblast,Administrative unit not available,Southern region,47.23,39.7,cereals and tubers,Wheat flour (high grade),KG,actual,Wholesale,RUB,13.83,0.5888
2008-04-15,Sankt-peterburg,Administrative unit not available,North-West region,59.93,30.34,cereals and tubers,Wheat flour (high grade),KG,actual,Wholesale,RUB,14.2,0.6044
2008-04-15,Sverdlovskaya Oblast,Administrative unit not available,Ural region,58.7,61.33,cereals and tubers,Wheat flour (high grade),KG,actual,Wholesale,RUB,13.6,0.5789
2008-04-15,Tatarstan Rep.,Administrative unit not available,Volga region,55.79,49.13,cereals and tubers,Wheat flour (high grade),KG,actual,Wholesale,RUB,13.77,0.586
2008-05-15,Altay Rep.,Administrative unit not available,Western Siberia,50.92,86.92,cereals and tubers,Wheat flour (high grade),KG,actual,Wholesale,RUB,13.41,0.5613
2008-05-15,Chuvashiya Rep.,Administrative unit not available,Volga-Vyatka region,55.55,47.1,cereals and tubers,Wheat flour (high grade),KG,actual,Wholesale,RUB,13.76,0.576
2008-05-15,Lipetskaya Oblast,Administrative unit not available,Central Black Earth,52.7,39.15,cereals and tubers,Wheat flour (high grade),KG,actual,Wholesale,RUB,13.82,0.5785
2008-05-15,Moskva,Administrative unit not available,Central region,55.75,37.62,cereals and tubers,Wheat flour (high grade),KG,actual,Wholesale,RUB,13.85,0.5797
2008-05-15,Rostovskaya Oblast,Administrative unit not available,Southern region,47.23,39.7,cereals and tubers,Wheat flour (high grade),KG,actual,Wholesale,RUB,13.74,0.5751
2008-05-15,Sankt-peterburg,Administrative unit not available,North-West region,59.93,30.34,cereals and tubers,Wheat flour (high grade),KG,actual,Wholesale,RUB,14.16,0.5927
2008-05-15,Sverdlovskaya Oblast,Administrative unit not available,Ural region,58.7,61.33,cereals and tubers,Wheat flour (high grade),KG,actual,Wholesale,RUB,13.66,0.5718
2008-05-15,Tatarstan Rep.,Administrative unit not available,Volga region,55.79,49.13,cereals and tubers,Wheat flour (high grade),KG,actual,Wholesale,RUB,13.72,0.5743
2008-06-15,Altay Rep.,Administrative unit not available,Western Siberia,50.92,86.92,cereals and tubers,Wheat flour (high grade),KG,actual,Wholesale,RUB,13.15,0.5573
2008-06-15,Chuvashiya Rep.,Administrative unit not available,Volga-Vyatka region,55.55,47.1,cereals and tubers,Wheat flour (high grade),KG,actual,Wholesale,RUB,13.2,0.5594
2008-06-15,Lipetskaya Oblast,Administrative unit not available,Central Black Earth,52.7,39.15,cereals and tubers,Wheat flour (high grade),KG,actual,Wholesale,RUB,13.31,0.5641
2008-06-15,Moskva,Administrative unit not available,Central region,55.75,37.62,cereals and tubers,Wheat flour (high grade),KG,actual,Wholesale,RUB,13.34,0.5652
